document,topic
DIY that wood &amp; cellulosic materials can be turned into textiles? We need sustainable man-made fibers to substitute cotton &amp; IoncellFibers' technology is an environmentally friendly alternative! ClimateKIC AaltoUniversity helsinkiuni IntDayofForests,-1
2nd crush 😍 Cauliflower with miso and horseradish vegan creme 🍃 EatingtheGap EITeu,1
"Driving meaningful innovation, implementing challenge-based education, JosepBordonau, professor la_UPC, education entrepreneur, at the Cross-KIC Education Conference: science&amp;tech+humanfactor +stakeholders casemethod PBL challengedriveneducation EITeu InnoEnergyEU",1
H2020 : soumettez votre projet dans les domaines de digitalcitiy infrastructure industry heath à EIT_Digital !,1
Week 2 is underway at the InPhyEd Summer School 😁 EITeu EITHealth tcddublin TU_Muenchen SchoolofEdTCD EITHealth_UKI IDTCD,1
"Congratulations to ClimateKIC EITAwards winners zeleros LeafTech_twitt &amp; DEDAGROUP_ICT for winning the EIT Public Award &amp; Change Award! Well done to all innovators, nominees, and the EITCommunity. You are all winners for impacting change for the future we want. EITeu",-1
"JosephIturbide ClimateKIC Lilium Der Volocopter ist zu 100% elektrisch. Die Klimaschutzwirkung hängt davon ab, was ersetzt wird und steigt mit Ausbau erneuerbarer Energien.",0
Farewell InnoSpaceJourney2018! What a pleasure it’s been to have you in the Nordics...loved it! EITeu ClimateKIC CopernicusEU sollazophoniasd Majakrowicki linegry FrancescaLaros1 gianmarco_paris ClimateSusanne IdeonSP ideoninnovation lunduniversity climatejourney18,0
Nya miljövänliga mattrenden - cykelcaféerna etablerar sig i Sverige – dagenssamhalle ClimateKIC,0
"Innovationsracet 2019 börjar! 🏆 5 startups tävlar med sina innovationer. Lycka till einrideofficial, mimblyswe, SurfCleaner, Eneryield och Enjay 🚀🌱pcsummit2019 Arrangeras av Energi_mynd IgniteSweden InnoEnergy_S",-1
EIT Digital to provide key to maintaining secure IoT systems – Irish Tech News EIT_Digital,1
Miss you. Last year I had the pleasure of opening ClimathonTrheim. But this year I am at the ClimathonLund. Will follow the exciting work that our CKICNordic partners NTNU &amp; Trondheim will do on circularcampus which is the climathon challenge of the year,0
"5 NordicMade startups awarded the 2018 WEF ClimateSolver Award: helyes Norsepowerltd Fourdeg ParkingEnergy, eastswedentech Againity, + sthlmtech alteredcompany. By BINordic NordicMade NordicCleantech CKICNordic CTScandinavia CleantechFIN",0
After 25 hours Climathon Valencia winner: well done guys!! GlobalClimathon ClimateKIC,0
Riding towards sustainability in the Netherlands gj4 climatejourney17 Dutch bikes ClimateKIC_NL ClimateKIC,0
"Happy New Year from the EITCommunity! 🎉🎊 We wish you the best of luck for 2020. This decade, let's work together towards a stronger and innovative Europe! 🇪🇺🚀",1
"La plataforma de medicina no presencial antari Home Care de infoGMV_es ayuda a la rehabilitación de personas que, tras un ictus, ven afectada su movilidad, dentro del proyecto SwitHome de EITeu.",1
Looking for an interesting story: climate change impacts EthiopiaCIC ClimateKIC HoheteTSC Climathon,-1
"What's the secret behind the success of EITeu ClimateKIC in Cyprus? Above all, we are friends :) CkicCyprus CyUniTech chrysalisleap CyEnergyAgency",-1
Rockathon was a great opportunity to get to know more of Mining. Thank you Sandvik_Mining and EITRawMaterials!,3
"⛏🎮📱Juega y aprende sobre minerales y sus aplicaciones. Cuantas menos pistas utilices, más puntos obtendrás. Un educativo proyecto de eitrawmaterials FGP_ETSIME IGME1849 unileoben covcampus sgeologica euromines ayma_mining tecnalia",3
"Does the Corona crisis affect your innovative climate startup? Then take the chance for up to 500.000 EUR and apply for extraordinary COVID-19 VentureSupport2020 from EITeu. The deadline is tomorrow, 7.6.2020! venturefunding funding venturesupport",1
Yesterday in Ljubljana - exploring the city &amp; discussing the regional innovation scheme (RIS) 🇪🇺 with EITRawMaterials partners. EITris,1
"Delighted to host ClimateKIC CEO &amp; team in Dublin last few days. Pumped that Dublin is playing host to ClimateKIC Climate Innovation Summit CIS2018 in November. Focused on sustainablefinance innovation, playing to Irish strengths michaeldarcy IFS2020",0
Delighted to see Irish located AndreasHoepner join the EuropeanCommiss sustainablefinance Technical Expert Group. Well done to all including our partners ClimateKIC ClimateBonds,0
Calling Finnish start-ups for the CKICNordic Accelerator,0
Great Cluster-work to drive innovation and sustainable change ProvadisSchool &amp; with ClimateKIC BiancaDragomirD helenbdunk,0
"💡Future engineers, are you thinking to apply to one of InnoEnergyEU's Master’s in sustainable energy to study in Fall 2019? 🎓Interested in getting dual degrees from top Universities? 🗓️Good news: the last application round is open until 22 April! ➡️",2
"This morning in Brussels, EITManufactur &amp; EITUrbanMob offered a glimpse of what society could look like in the future! As part of EITCommunity, they’ll provide solutions to Europe's most pressing mobility &amp; manufacturing challenges. ➡",1
COP24 report: The vital role of land use in climate mitigation - via ClimateKIC,0
JEPaquetEU GabrielMariya EU_H2020 EUScienceInnov ERC_Research EUeic REA_research inea_eu CORDIS_EU EITeu EU_ScienceHub Merci Jean-Eric pour ce salutaire rappel de ce que fait l’UE et notamment la DG RTD pour lutter contre le Covid-19!,1
Join me at next ClimateKIC MissionFinance event now on rewiring the finance system,0
"Sumat a un moviment global per transformar el nostre futur! Aprèn, comparteix, connecta, practica, coneix gent com tu, inspiradora i amb ganes de passar a l'acció! Aprèn com passar d'una idea a un projecte amb ajuda d'experts i més! ClimateKICspain ClimateKIC climathonGANDESA",0
Farmer and tecnologist have to be in love to construct a new future EITeu arturodicorinto resarch has to substain the planet ggramaglia,0
"Changing the face of our cities! Lluis Gomez, Commissioner for innovation at bcn_ajuntament explains how EITUrbanMob will coordinate European efforts for better UrbanMobility. 👉",1
jakewoodhous SocioVizNet Gephi GreentownLabs CEVteam CleantechOpenNE PowerBridgeNY EmilyLReichert StartUpGET abartontweets Enapter_ MAGreenBuilding rateitgreen TCS_SDC ClimateKIC SmartEnergyCan fredrikharen ExtinctionR Climate_Action_ extinction recorded now. top #,0
"A year has gone by when we flew to 🇷🇴 and covered the latest developments on the EUeic, FET_eu &amp; EICPathfinder during the iew2019. Looking back, has anything changed? Get a recap by reading our news:",1
"Once decision makers finally assume that DigitalTransformation is a must, the next step is to ensure that their decisions will drive digital improvements which are meaningful for the organization and its customers. InformationWeek EITDigitalAcad",1
"Me gustaría saber si estas ideas son posibles o se están desarrollando en la actualidad. microBIOblog, SaludISCIII , CienciaGob , EUeic CNB_CSIC , CSIC Covid_19 CoronavirusESP COVID2019 COVIDー19 científicos España",1
CLP18 Kenyan national finals are happeing today at SBSKenya &amp; hosted by KCIC! Top 3 winners will go on to the global final in Scotland in November. CLP18 ClimateLaunch ClimateKIC,0
Green Deal branded as ‘hallmark’ of new European Commission via EURACTIV eaEnergyEU AndersWijkman KirstenCKIC ClimateKIC WBG_Climate edie miljotweets bankers4climate mattiasgoldmann CORPOCON ContChange Mayors4Climate LeadershipMatters,0
"For those who missed it, here are the VIDEOS from SEC2SV EID! Time for EricThelen70 EIT_Digital speech 🇪🇺 🇺🇸",1
KA_Nicholas annarichert CKICNordic Carbon_Cloud WWFSverige Lundsuni sustforum_LU Om ni vill att restauranger klimatmärker sina menyer så har CarbonCloud (som gjorde matkalkylatorn) en färdig lösning Carbon_Cloud. Jag ska ner till Lund och prata mat den veckan i vilket fall :-),-1
Meet InnoEnergyEU’s InnoVoice &amp; student Samuel Akpobome,2
precsem Top global trends to be aware of - climate change at no.5 ClimateKIC precedentcomms,0
"Picking a single photon out of a laser beam, IEEEsmartcities expert rsaracco of EIT_Digital explains:",-1
"At ClimateKIC’s MissionFinance summit, MazzucatoM agrees with BillGates: Governments needs to lead business on financing climate innovation; need to co-shape markets across entire innovation chain &amp; also need to turn climate goals into concrete missions like JFK’s moon shot",0
Karno Tenovuo RollsRoyce marine talking about autonomous ships and how it improves Productivity FIIF_catalyst EIT_Digital,1
"Very interesting working session with CLC Managers of EIT_Digital Berlin, Budapest, Eindhoven, Helsinki, Madrid, London, Paris, Stockholm and Trento.The future of Professional Education and the present of the EIT Digital Professional School.",1
.ClimateKIC presents a water &amp; energy system for climatechange innoveit,0
CkjMadrid CEIGRAM La_UPM MahucaMaria arrabaldes We would like that this statement identifies our ckjourney!! ClimateJourney18 upm CEIGRAM itdupm ClimateKIC,0
Find the right innovation partners to grow your business w/ EITDigitalAccel SlushHQ 30 Nov startups slush16,1
Boot camp training for the climathon.ClimateKIC teams COP21,0
very proud to see francesca_bria in FBKcom invited by the EITeu,1
👏Congratulations to DanubiaNanoTech for winning InnoEnergyCE PowerUp! Competition &amp; Bettery winning EITRawMaterials Battery Challenge last week. More EITCommunity innovations that help 🇪🇺 transition to a sustainable future.,2
"European Cooperation for IndustrialSymbiosis. Brussels, Thursday 30/11/29017. Organised by EITRawMaterials TechGroup89 TNO &amp; Int_Synergies. FISSAC",3
"gquaggiotto alberto_cottica NoemiSalantiu cdlariviere ClimateKIC markomanka smarimc olofster ehn mrchrisadams NurtureGirl doctorow I remember speaking at a startup-funder matchmaking event in SA organised by eosiakwan to present unMonastery. Like Eric, the other builders seemed to intuitively *get* it because it's for them/us. Everyone else = Saucer eyes in the audience, felt like a total 👽.",1
"ZachariassenH KrohnTraaseth EU_EIC eic_norway JEPaquetEU MinaStareva marcela_linkova GenderInnovate EUScienceInnov EUeic Krohntraaseth owes an apology to me and all women who followed my story or lived through their own ordeals, and learned that no-one will stand up for justice. Many of us are done with hearing people talk about role models and cultural change, while there is no accountability.",1
Go Quarnot! Great to see a ClimateKIC start-up flying the European innovation flag in Las Vegas:,0
"📅Save the date! October 29, Madrid. This year, EsadeGeo's Annual Energy Day will unpack how policy planning on energy&amp; climate change affects investment in the energy sector, with AMcDowell from EIB as keynote speaker. More information soon. InnoEnergyEU comisioneuropea BCG",2
Final programme 3rd European Sustainable Phosphorus Conference (ESPC3) next week in Helsinki NutrientP dpp_ev BSAG_ Phosphorus_ie SustainP eureau European_Biogas eip_water EIPAGRI_SP EITRawMaterials EIT_food nutrients FertilizerNews,3
ConstrucciónSostenible DesarrolloSostenible Edificios EficienciaEnergética InnoEnergyEU,2
"EITeu I didn’t subscribe to your account. I have zero interest in anything you have to say. If I did, I would’ve subscribed. Instead you forcibly imposed your spam into other people’s accounts who just aren’t interested. blocked reported twitterspam",1
"Competenze digitali e imprenditoriali, il piano di EIT_Digital via Startupbusiness",1
"JuergenTiedje from EU_Commission commends joint side event by SPRE2050, ClimateKIC &amp; EITRawMaterials on H4C, re-emphasising that industrialsymbiosis, competitiveness &amp; needs of the citizens are crucial to achieving H4C, looking also @ the starting point &amp; accelerators.",0
"Beyond the kitchen: Mushroom mycelia can be turned into a packaging and insulating alternative to styrofoam, using agriculture by-products Sustainability Biomass ☀️🌍♻️🌱🍄🧫📦 Via ClimateKIC EITeu",-1
Getting ready for INiTS_at and EIT_Digital Focus Night - let's talk about Series A!,1
Last day of Geometallurgy Short Course EITRawMaterials UniversiteLiege M Reuter sharing perspectives for efficient metal recycling UNEP,3
How Doom reveals its secrets like a Frank Frazetta painting via EITeu,1
EITRawMaterials EU_Commission the_PDAC alexandru_tand TgiRaman CyanoGuard Hovering_S m_solutions_fi Do you have an online resource where I can read about the cyanide detection you mentioned above?,1
"Bravo 👏 marc_diabeloop, lauréat du prix de l'innovation de l'institut européen d'innovation et de technologie EITeu ! Diabeloop développe des technos pour faciliter la gestion du diabète. Le CEA_Leti est fier d'être partenaire de cette belle entreprise. diabete prix",1
EITRawMaterials promotors CEMOOC a Wider Society Learning project IIIEElund swereaivf metalliskamaterial,3
kenmeisterG Remora_Marine ICThinkSpace centralworking ClimateKIC ClimateKIC_UKI Grantham_IC Imperial_INC ImperialDE PeterRNChilds InnovationRCA RichardTempler1 imperialcollege Thank you :),0
"Our vision is to make the process of building sustainable and energy efficient properties, simple. homepod startups cleantech ClimateKIC bucharest sustainability energyefficiency romania",-1
"Presentazione dei progetti! Marcheselli Smart Mountains, Slow Network, Agromet_srl UrbanChallenge Trento, ClimateKIC",0
ClimateKIC KirstenCKIC EUinmyRegion govSlovenia Shoutout to our workshop coordinators Anya_Spa jupanny mhamanova clionahowie Valerio Bruschi Maria Achilleos &amp; Slava Yordanova,0
"All day in Amsterdam at debate of working group on digital challenges: privacy, cybersecurity,trust, data accessability&amp; localisation/ how to built European Competitive Advantages EPPGroup MartensCentre EIF4eu delcastillop EvaKaili PaulRuebig EIT_Digital vestager",1
CopSonic rejoint l’accélérateur européen EIT Digital Madeeli_ EIT_Digital CopSonic innovation,1
TubulisTechnologies on stage to tackle the burden of breast cancer ! JTN2017 EIThealth_FR EITeu EIThealth_FR Agoranov_innov,1
Episode 2 of DealStream is coming up today at 3pm CET! Tune in to hear from 5 of the latest EITeu ClimateKIC start-ups &amp; engage with them! 🔍 Explore the participant’s profiles: 👉 Set a reminder for the show:,0
brsmeas ITU WHO ClimateKIC LeuvenU WRFSwitzerland rolphpayet GENetwork UNITAR UNOGLibrary UNLibrary UNIDO GenevaImpact UN_Valovaya ITUSecGen andersen_inger ITU_TClimate UNEP_Europe UNEP_Europe: pls share w/ your networks uoaofficial univofmacedonia ceuhungary uni_nke Unibocconi LaStatale SapienzaRoma CaFoscari univiu unipr DU_LV KTUnews MRUNewsBureau uni_lu uniofmalta AvansHogeschool OU_Nederland SuSoRUG utwenteEN rolphpayet,0
"For our Health2eu friends: Good news, Ignilife will be in Barcelona! 😎 hcsmeu digitalhealth EIT_Digital",1
"Giorgio Recine, Business Developer of EITRawMaterials, talking to gNellerba on circulareconomy at EarthDayItalia",3
Workshop zu Energieeffizienz und erneuerbare Energie in Gebäuden (EEG) mit ValueChain der GebautenUmwelt ETH ClimateKIC Nachhaltigkeit,-1
"RTU Dizaina fabrika aicina biznesa uzsācējus, zinātniekus un novatorus līdz 24. maijam pieteikt idejas konkursam «Innovation Prize», lai radītu pievienoto vērtību pārtikas un lauksaimniecības nozarēm un cīnītos par naudas balvu līdz 30 000 eiro. EITeu",1
Register now for InnoEnergyEU’s PV Game course in photovoltaics 👉,2
"Very interesting speech of Dr. Steven Chu 12th United States Secretary of Energy, Nobel Prize - 1997 Physics at the TBB2019 closing session InnoEnergyEU",2
"dhofstetter_x MazzucatoM ClimateKIC IIPP_UCL CarlotaPrzPerez IPCC_CH snowded AxiloSpace exaptive EITeu 11/ There is of course Hydrogen production on Board there are two potential, both US. My view is to develop a H2 Power pack for Global roll out by the Existing Auto Makers simple, there is No time to spend 20 years building up a Global Engine company.",-1
ClimateKIC Amazing opportunity for your students to get skills and let their ideas flow at climatejourney18,0
"Top story: EUDigitalEdu: 'ChristophidouEU, Director-General Education,Youth, Sport &amp; Culture at EIT_Digital conference in Brussels, calling for more cooperation in the digital world: 'We need to knock down the wall… see more",1
Great to see ClimateKIC start-up medu_soil pitching for the win of slush 100! ckicslush slush18 climate innovation,0
"Nu börjar det dra ihop sig, snart dags för de fem finalisterna i Innovationsrace2019 på PCSummit19 att gå på scen och pitcha. Vi önskar enjay och Eneryield lycka till! InnoEnergy_S IgniteSweden innovation Cleantech",-1
Get to know EIT_Digital Innovation Capiche Smart Assistant for Refugees dmexco Cologne hall6 boothA11 TSystems_MMS DFKI CrowdeeCrowd,1
Such a unique experience being in the cKIC_Alumni Board for 2 years with these amazing people! Thank you all !!,-1
Europe increasingly at risk of climate change - EnviroNews Nigeria - climatechange Euractiv ClimateKIC,0
"🙌 Speaking of FoodHeroes... we are very happy that we can launch Robin Food with rikoltoBE together with tough partners enVieAtelier @EITeu SamenLevOpbouw, RIMO Limnurg. Soup of vegetable surpluses for those who need it the most now. 🤗",1
"Have you heard about the EITeu awards? The EIT Awards promote innovation &amp; encourage entrepreneurs by putting the most innovative ventures, entrepreneurial graduates, innovation teams &amp; women from the EIT Community in the spotlight👉 📷 Diz Play|Unsplash",1
"Europejski Instytut Innowacji i Technologii EITeu który powołaliśmy w 2008 r., to historia sukcesu - w Polsce np. dzięki InnoEnergyCE Na komisji EP_Industry rozmawialiśmy dziś jak wspierać ich w przyszłości - i jak oni mogą wspierać nas przy COVID19 czy wdrażaniu ZielonyŁad",1
cKIC_Alumni announces their 1st prize of the startup competition! CKAAGA2015,-1
Start-ups: Apply now for ClimateKIC France’s Accelerator 2015 Climate-KIC,0
"Join our 👍 Panel discussion at INNOVEIT on taking two pillars of the EITeu forward: education and the regional dimension. 3 aspects driving digitalinnovation 🔵the role of Innovation Communities, 🔵the increase in innovation funding 🔵businesse",1
.InnoEnergyEU lance un appel international aux startups dans le domaine du stockage de l'électricité. 100000€ à la clé pour la gagnante. Via enerzine,2
"Nice art and climatechange initiative Showing concrete climatechange impact on hydrology directly to people, for example in the street, is necessary by LilaCollet bespoke_atelier $ ClimateKIC 📸 SCastilloPhoto With GlasgowCC HeriotWattUni",0
Sign up for ClimateKIC &amp; EITeu online course ClimateChange 🎓,0
GTK_FI and SavoniaAMK - partners in Morecovery EITRawMaterials project - members of KWaterCluster (Kuopio Water Cluster) jointly presented their projects at the WREur event.,3
Great day in Zurich with the Green Innovation in Schools team ClimateKIC_UKI myclimate st_technotrend ClimateKIC S4TP_BigIdeas KathyJowitt Looking forward to our continued collaboration sustainability youngpeople innovation Entrepreneurship,0
"‘Entrepreneurship is a mindset, not an occupation’ UTodayNL EITDigitalAcad",1
"And there are much more minerals and rocks in EITRawMaterials HQ (and, ok, in the rest of the world as well). Come around and let‘s discover rocksrock",3
Not to duplicate the brave efforts made by nordicinno but to depict how the CKICNordic Innovation team ses the eternal fight between climate threaths &amp; the Nordicsolutions to fight climatechange Xmas party,0
Today is Central European Day of Energy! See how EIT InnoEnergyEU is pioneering change in sustainableenergy CEDEnergy energy innovation EUinnovation,2
1st &amp; 2nd year students master Energy for SmartCities InnoEnergyEU EITeu this week in Barcelona at Twentytuhostel,2
"Kleiber’s Law &amp; smartcities, IEEEsmartcities expert rsaracco of EIT_Digital explores:",-1
Up to €150k support for the brightest CEE energy startups. Join InnoEnergyEU powerup2017 competition. Apply,2
ZEK_Praha CoroVent EUeic 👏👏👏,-1
I will be speaking tomorrow on this stage. Thank you EITeu KICInnoEnergy ClimateKIC .,0
EIT_Digital minnatech JoakimSjoblom EITDigitalAccel It would be nice if you could share the key findings 😉,1
Check out EIT_Food’s four EITAwards nominees. Revolutionising the Food Supply Chain across Europe 🇪🇺 ! ➡ EITCommunity H2020 HorizonEU,1
RT MarcoBrambi: Great projects and people met today at EIT_Digital 2017 kickoff day of Digital Cities action lin…,1
Great I&amp;E course experience with EIT_Digital Doctoral students actuaupm UPM_Innovatech La_UPM EIT_DigitalEDU,1
Own your waste to start value chains. Stories and practices from a diversity of actors are on stage at CKCIS2017 ClimateKIC,0
ClimateKIC PeterKoekoekEU AngelaHowarthCK KelseyHunter WhereIsBertrand BuildingsDay day COP21,0
"TomNijsen InnoEnergyEU LaVie_bio kickstarter 1/2 Hi Tom, Thank you for your interest and your questions. There are various people behind the various Twitter accounts and not all are in a capacity to answer technical questions regarding InnoEnergy-supported products.",2
Esperando a los estudiantes de máster EIT_Digital de La_UPM para que conozcan más sobre blockchain 3Dprinting y otras tendencias digitales,1
Proud to be coach for PowerUp! regional final in Prague InnoEnergyCE startups innovation Energy,2
do not miss tonight at 6pm the COP21 # climatenegotiations cKIC_Alumni make a change.,0
eustartup EU_Startups StartUpEU DSMeu tech_eu SEP_EU EU_H2020 Ansip_EU Moedas robinwauters EIT_Digital MindTheBridge I would be very interested in this report! Would you mind sending it to me?,1
And now back to work Climathon Cyprus WhereTheHIsMatt ClimateKIC cutaccy a_charalambides tsaltasd,-1
Greetings from Malta! We are here to present with our partners ParagonEurope the results of our ClimateKIC EITRIS ideation project on CircularEconomy for construction waste in islands! CyUniTech CyEnergyAgency,0
origoneltd EIT_Digital partouche123 IOThingsmilan,1
Nenufar- turning CH4 into energy! ClimateKIC's BestClimateVenture IF2015,0
RawMaterialsWeek here in Brussels with Tanya and Layla BKTUDelft tudelft EITRawMaterials,3
"Cool podcast with ducky_no, Helle Moen from Minhoca and Climathon organisers in Trondheim! ClimateKIC all around (in Norwegian)",0
Move things around yourself - or let Cascade Drives from InnoEnergyEU do it for you!EPRINews Electrification2018,2
EIT_Digital lost startschot voor derde editie start-upwedstrijd - Bits&amp;Chips,1
Big congrats to fibricheck for winning the EITeu Venture Award! Proud of you! imecVentures imecistart behealth,1
"EdnaAyme EIT_Digital WillemJonkerNL thank you, common goals and understanding of the significance of digital game changer",1
"Congratulations, FenX! With its innovative technology transforming mineral waste into insulation foams the ClimateKIC startup became runner-up in the category ""Sustainable Tech"" of the startupdays_ pitching competition. sustainability innovation",0
Zmagovalec slovenskega finala tekmovanja PowerUp je sistem 2GG podjetja DS Meritve! Franc_Bogovic romanajordan BorutPahor InnoEnergyEU,-1
.ClimateKIC DEVASTATING effects of KillerPalm fires greenhouse gases on climate must STOP,-1
ClimateKICSI ClimateKIC kemijski RimskyStarmanov,0
Preparing for our InnovationGame. AriseEurope Masters EITDigitalAcad Thessaloniki okthess zsuva,1
There is a fine line between taking risk &amp; being dumb! APW_Berlin ClimateKIC entrepreneurship startup speaker,0
"Proyecto de valorización de subproductos en Atlantic Copper, proyecto de educación coordinado por la asociación EITRawMaterials (Raw Materials del European Institute of Innovation &amp; Technology) residuorecurso economiacircular",3
The new EU CircularEconomy Action Plan is here! ClimateKIC supports ambitious regional and national governments in the transition EUIndustrialStrategy EUGreenDeal CiceroneH2020 CEStakeholderEU CircularConvers Full press package:,-1
.ClimateKIC €Billions EU imports linked to illegal deforestation &amp; KillerPalm Is EU 2020 pledge achievable ?,-1
SaferPlaces presenta il servizio per la valutazione del rischio di allagamento urbano al Webinar sui Servizi Climatici organizzato dalla Regione Emilia-Romagna -giovedì 9 luglio dalle 14:30 alle 16:00 - ClimateKIC ClimateKICItaly CmccClimate,0
How to deal with algorithms in healthcare? Regulatory approval will be surely needed but the pathway to receive approval is unclear. AI is not a medicine so we have to find a smart way WHS2019 EITHealth EIT_Digital EIT_Health_de,1
ClimateKIC Forbes Fantastic! Congratulations to these innovators showing us how vision and focus can change the world.,0
Ground shaking innovation in Fitness and Nutrition for the Kenyan School Curriculum. NairobiIW EITeu IdeasBoomAu MoICTKenya Innovation thenailab BattleOfMinds,1
In Boston USA on 18 June? Join the global ClimateKIC Climathon! COP21 ClimateAction,0
Cool team of 💚changemarkers! Enjoy the rest of your Journey crunching space data and addressing climate change challenges - together. 🙏InnoSpaceJourney climatejourney18 ClimateKIC ClimateKICItaly esa climateaction,0
Now at EITeu ClimateKIC house in Brussels for an exciting Smart Specialisation Masterclass with Dominique Foray ris ris3,0
The new EITDigitalAccel website is out! Discover how this startup accelerator can help you scaleup across Europe,1
Yes... MONACOTECH1 LZ140 theideastarter MonacoSophiaBiz EITDigitalAccel therlin,1
"AF’s 1st Innovation Day underway at AntiguaNIESeminar, moderated by ClimateKIC. Often AF projects are 1st on ground in many vulnerable areas. Innovating new approaches, tech’gies &amp; techniques w potential is key in adaptation work, says Oll1ka1nen. AF also offers innov. grants.",0
Fancy water from a seaweed bottle? OohoWater from ClimateKIC startup SkippingRocksLab crowdfunding past US$1m,0
Can we be the maestros of the future &amp; interact with computers with hand gestures? fet_eu project LevitateProj is showing us the way. Join us as we celebrate EICFTW this September. DSMeu EUeic ultrahaptics scicomm,1
Check tijdens de dutchdesignweek de health app GameBus van EIT_Digital,1
Exciting!! ClimateKIC Journey shortlisted for ReimagineHEdu Awards!! innovative Education climatejourney17 sollazophoniasd EbrahimKIC,0
I liked a YouTube video from ckic_alumni Local Event Bologna,1
ClimateKIC krptndr ActOnClimate is more of an implementation than an innovation task. Technologies transfer if it pays! PriceOnCarbon,0
Hemen jadanik erabaki dute EITfood hazifundazioa: multinazionalak!!!,1
You still dont know where we are?? Turn around!! We wait for you!! ClimateKIC SLUSH2017 SlushCKIC,0
The aims of this four-day course are to uncover the potential of EarthObservation and RemoteSensing as important tools for the raw materials community. via EITRawMaterials,3
"Willem Jonker, CEO of EIT_Digital. ”Finns are warm like sauna, not cold like the average weather ”. EIT_Digital has supported already 300+ EU scaleups and the value created for each € invested in EIT_Digital has broight back to society 7€s. EITDigitalAccel EITeu",-1
Great seeing zidia from chino_api on stage grants4apps in Berlin. Alumni EITDigitalAccel digitalhealth expert DataSecurity bigdata,1
"Renewable Energy Needs To Scale Up By A Factor Of Six, Reports IRENA via cleantechnica JKuylenstierna AndersWijkman andersegelrud miljotweets NiklasNrdstrm ClimateKIC c40cities MikeBloomberg mattiasgoldmann cdlariviere PLarshans renewables",0
"[ForumAV] J-5 avant le Forum des Membres! Venez rencontrer nos exposants sur 22 stands dont 4 représentants Européens: cleansky_ju, CopernicusEU, EU_EASME &amp; EITManufactur. Nous sommes ravis de les accueillir à Arcachon! Membre &amp; pas encore inscrit?👉",1
EIT Director presenting EITCommunity entrepreneurial education @ Brussels! fjagielen UrsulaMuehle Learn more,1
Now with JEPaquetEU meeting with fredplais geraldine juliocasa4iQ tkolind cc GabrielMariya EU_H2020 EUeic EUScienceInnov SEP_EU,1
